Línea ATM,LINEA SISTAU,LM_ID,Línea SUBE,Empresa,CUIT,,Jurisdicción,Grupo tarifario,Grupo Empresario,Observación,codlin,parque
L037,37,145,LINEA 37,4 DE SEPTIEMBRE S.A.T.C.P.,30546366150,FALSE,JN,S.G.I.,,,01010000370,L037
L056,56,88,LINEA 56,TRANSPORTES LOPE DE VEGA S.A.C.I.,30546366460,TRUE,JN,S.G.I.,DOTA,,01010000560,L056
L076,76,43,LINEA 76,TRANSPORTES LOPE DE VEGA S.A.C.I.,30546366460,TRUE,JN,D.F.,DOTA,,01010000760,L076
L091,91,92,LINEA 91,TRANSPORTES LOPE DE VEGA S.A.C.I.,30546366460,TRUE,JN,S.G.I.,DOTA,,01010000910,L091
L135,135,44,LINEA 135,TRANSPORTES LOPE DE VEGA S.A.C.I.,30546366460,FALSE,JN,S.G.I.,DOTA,,01010001350,L135
L123,123,123,LINEA 123,TRANSPORTES LINEA 123 S.A.C.I.,30546367831,FALSE,JN,S.G.I.,Controlada 2,,01010001230,L123
L338,338,308,LINEA 338,TRANSPORTE AUTOMOTORES LA PLATA SA,30546414139,TRUE,PROV,U.P.A.M,TALSA,,06010003380,L338
L406,406,309,LINEA 406,TRANSPORTE AUTOMOTORES LA PLATA SA,30546414139,FALSE,PROV,U.P.A.,TALSA,,06010004060,L406
L218,218,173,LINEA 218,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,30546417960,TRUE,PROV,U.P.A.,Almafuerte,,06010002180,L218
L284,284,174,LINEA 284,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,30546417960,TRUE,PROV,U.P.A.,Almafuerte,,06010002840,L284
L325,325,175,LINEA 325,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,30546417960,TRUE,PROV,U.P.A.,Almafuerte,,06010003250,L325
L378,378,176,LINEA 378,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,30546417960,TRUE,PROV,U.P.A.,Almafuerte,,06010003780,L378
L622LMZ,LM622,177,LINEA 622,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,30546417960,TRUE,LA MATANZA,U.M.A.1.,Almafuerte,,06014276220,L622LMZ
L628LMZ,LM628,178,LINEA 628,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,30546417960,FALSE,LA MATANZA,U.M.A.1.,Almafuerte,,06014276280,L628LMZ
L405,405,273,LINEA 405,MICRO OMNIBUS AVENIDA S.A.,30546419254,TRUE,PROV,U.P.A.,GUIDO,,06010004050,L405
L520LAN,LA520,376,LINEA 520B,MICRO OMNIBUS AVENIDA S.A.,30546419254,FALSE,LANUS,U.M.A.1.,GUIDO,,06014345200,L520LAN
L721TIG,TI721,383,LINEA 721,MICRO OMNIBUS GRAL PACHECO SRL,30546419947,FALSE,TIGRE,U.M.A.2.,,,06018057210,L721TIG
L065,65,51,LINEA 65,LA NUEVA METROPOL S.A.,30546500086,TRUE,JN,D.F.,Nueva Metropol,,01010000650,L065
L194,194,55,LINEA 194,LA NUEVA METROPOL S.A.,30546500086,TRUE,JN,S.G.II.,Nueva Metropol,,01010001940,L194
L195,195,52,LINEA 195,LA NUEVA METROPOL S.A.,30546500086,TRUE,JN,S.G.II.,Nueva Metropol,,01010001950,L195
L228A,228A,405,LINEA 228A,LA NUEVA METROPOL S.A.,30546500086,TRUE,PROV,U.P.A.M,Nueva Metropol,,06010002281,L228A
L365,365,404,LINEA 365,LA NUEVA METROPOL S.A.,30546500086,FALSE,PROV,U.P.A.M,Nueva Metropol,,06010003650,L365
L237,237,619,LINEA 237,COMPAÑIA ISLEÑA S.R.L.,30546532743,TRUE,PROV,U.P.A.,Nueva Metropol,,06010002370,L237
L276,276A,188,LINEA 276,COMPAÑIA ISLEÑA S.R.L.,30546532743,TRUE,PROV,U.P.A.M,Nueva Metropol,,06010002760,L276
L310,310,805,LINEA 310,COMPAÑIA ISLEÑA S.R.L.,30546532743,TRUE,PROV,U.P.A.,Nueva Metropol,,06010003100,L310
L504ESC,ES504B,741,LINEA 504B,COMPAÑIA ISLEÑA S.R.L.,30546532743,TRUE,ESCOBAR,U.M.A.1.,Nueva Metropol,,06012525040,L504ESC
L507ESC,ES507,740,LINEA 507B,COMPAÑIA ISLEÑA S.R.L.,30546532743,TRUE,ESCOBAR,U.M.A.1.,Nueva Metropol,,06012525070,L507ESC
L670GSM,SM670,793,LINEA 670,COMPAÑIA ISLEÑA S.R.L.,30546532743,FALSE,GENERAL SAN MARTIN,U.M.A.1.,Nueva Metropol,,06013716700,L670GSM
L132,132,53,LINEA 132,NUEVOS RUMBOS S.A.T.A.C.I.F.I.,30546572079,FALSE,JN,D.F.,Nuevos Rumbos,,01010001320,L132
L105,105,121,LINEA 105,EMPRESA DE TRANSPORTES AMERICA S.A.C.I.,30546572907,FALSE,JN,S.G.I.,,,01010001050,L105
L002,2,141,LINEA 2,TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.,30546608634,FALSE,JN,S.G.I.,,,01010000020,L002
L228F,228F,339,LINEA 228F,LA CENTRAL DE ESCOBAR SA,30546615908,TRUE,PROV,U.P.A.M,Central Escobar,,06010002286,L228F
L291,291,261,LINEA 291,LA CENTRAL DE ESCOBAR SA,30546615908,TRUE,PROV,U.P.A.M,Central Escobar,,06010002910,L291
L520PIL,PL520,341,LINEA 520A,LA CENTRAL DE ESCOBAR SA,30546615908,FALSE,PILAR,U.M.A.2.,Central Escobar,,06016385200,L520PIL
L178,178,132,LINEA 178,COMPAÑIA MICROOMNIBUS LA COLORADA SACI,30546698773,TRUE,JN,S.G.I.,La Colorada,,01010001780,L178
L505FVA,FV505,459,LINEA 505 D,COMPAÑIA MICROOMNIBUS LA COLORADA SACI,30546698773,FALSE,FLORENCIO VARELA,U.M.A.1.,La Colorada,,06012745050,L505FVA
L152,152,70,LINEA 152,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,30546844230,FALSE,JN,S.G.I.,,,01010001520,L152
L222,222,245,LINEA 222,EXPRESO ESTEBAN ECHEVERRIA S.R.L.,30554845580,TRUE,PROV,U.P.A.,Echeverría,,06010002220,L222
L306,306,246,LINEA 306,EXPRESO ESTEBAN ECHEVERRIA S.R.L.,30554845580,FALSE,PROV,U.P.A.,Echeverría,,06010003060,L306
L244,244,220,LINEA 244,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010002440,L244
L302,302,221,LINEA 302,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010003020,L302
L303,303,222,LINEA 303,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010003030,L303
L320,320,223,LINEA 320,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010003200,L320
L390,390,224,LINEA 390,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010003900,L390
L443A,443A,438,LINEA 443A,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010004431,L443A
L461,461,225,LINEA 461,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010004610,L461
L462,462,226,LINEA 462,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010004620,L462
L463,463,227,LINEA 463,EMPRESA DEL OESTE SAT,30554847257,TRUE,PROV,U.P.A.,Del Oeste,,06010004630,L463
L464,464,228,LINEA 464,EMPRESA DEL OESTE SAT,30554847257,FALSE,PROV,U.P.A.,Del Oeste,,06010004640,L464
L005,5,36,LINEA 5,TRANSPORTES RIO GRANDE S.A.C.I.F.,30556654855,TRUE,JN,D.F.,DOTA,,01010000050,L005
L008,8,37,LINEA 8,TRANSPORTES RIO GRANDE S.A.C.I.F.,30556654855,TRUE,JN,S.G.I.,DOTA,,01010000080,L008
L023,23,40,LINEA 23,TRANSPORTES RIO GRANDE S.A.C.I.F.,30556654855,FALSE,JN,D.F.,DOTA,,01010000230,L023
L099,99,64,LINEA 99,TRANSPORTES 27 DE JUNIO S.A.C.I.F.,30557365504,FALSE,JN,D.F.,NUDO,,01010000990,L099
L315,315,263,LINEA 315,LA PRIMERA DE GRAND BOURG S.A.,30561900678,TRUE,PROV,U.P.A.,Rosario BUS,,06010003150,L315
L440,440,262,LINEA 440,LA PRIMERA DE GRAND BOURG S.A.,30561900678,TRUE,PROV,U.P.A.,Rosario BUS,,06010004400,L440
L740SMI,SM740,264,LINEA 740,LA PRIMERA DE GRAND BOURG S.A.,30561900678,FALSE,SAN MIGUEL,U.M.A.1.,Rosario BUS,,06017607400,L740SMI
L064,64,151,LINEA 64,VUELTA DE ROCHA S.A.T.C.I.,30567966859,FALSE,JN,D.F.,,,01010000640,L064
L017,17,61,LINEA 17,LINEA 17 S.A.,30568352560,FALSE,JN,S.G.I.,Línea 10/17,,01010000170,L017
L034,34,87,LINEA 34,JUAN B. JUSTO S.A.T.C.I.,30568445992,FALSE,JN,D.F.,,,01010000340,L034
L060,60,150,LINEA 60,MICRO OMNIBUS NORTE S.A.,30571537644,FALSE,JN,S.G.I.,Atlántida,,01010000600,L060
L022,22,63,LINEA 22,LINEA 22 S.A.,30571895362,FALSE,JN,S.G.I.,MOQSA,,01010000220,L022
L026,26,54,LINEA 26,17 DE AGOSTO S.A.,30571901966,FALSE,JN,D.F.,Nuevos Rumbos,,01010000260,L026
L010,10,60,LINEA 10,LINEA 10 S.A.,30571966995,FALSE,JN,S.G.I.,Línea 10/17,,01010000100,L010
L001,1,83,LINEA 1,TRANSPORTES SAN CAYETANO S.A.C.,30571969277,FALSE,JN,S.G.I.,,,1010000010,L001
L524LAN,LA524,212,LINEA 524,EMPRESA CINCO DE AGOSTO S.R.L.,30571970437,FALSE,LANUS,U.M.A.1.,MO 45,,06014345240,L524LAN
L521LAN,LA521,347,LINEA 521 A,MICRO OMNIBUS ESTE S.A,30580390524,TRUE,LANUS,U.M.A.1.,MOE,,06014345210,L521LAN
L526LAN,LA526,276,LINEA 526,MICRO OMNIBUS ESTE S.A,30580390524,FALSE,LANUS,U.M.A.1.,MOE,,06014345260,L526LAN
L341,341,248,LINEA 341,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES,30581847692,TRUE,PROV,U.P.A.,Lucero,,06010003410,L341
L379,379,249,LINEA 379,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES,30581847692,TRUE,PROV,U.P.A.,Lucero,,06010003790,L379
L391,391,250,LINEA 391,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES,30581847692,FALSE,PROV,U.P.A.,Lucero,,06010003910,L391
L061,61,112,LINEA 61,TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.,30591126594,TRUE,JN,D.F.,Misión Buenos Aires,,01010000610,L061
L062,62,113,LINEA 62,TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.,30591126594,TRUE,JN,D.F.,Misión Buenos Aires,,01010000620,L062
L114,114,158,LINEA 114,TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.,30591126594,TRUE,JN,S.G.I.,Misión Buenos Aires,,01010001140,L114
L129,129,162,LINEA 129,TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.,30591126594,TRUE,JN,S.G.II.,Misión Buenos Aires,,01010001290,L129
L133,133,163,LINEA 133,TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.,30591126594,TRUE,JN,S.G.I.,Misión Buenos Aires,,01010001330,L133
L140,140,165,LINEA 140,TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.,30591126594,TRUE,JN,S.G.I.,Misión Buenos Aires,,01010001400,L140
L143,143,167,LINEA 143,TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.,30591126594,FALSE,JN,S.G.I.,Misión Buenos Aires,,01010001430,L143
L501PIL,PL501,354,LINEA 501B,EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.,30605890918,FALSE,PILAR,U.M.A.2.,Central Escobar,,06016385010,L501PIL
L130,130,78,LINEA 130,TRANSPORTES AVENIDA BERNARDO ADER S.A.,30625488326,FALSE,JN,S.G.I.,ARGOS,,01010001300,L130
L264,264,181,LINEA 264,EMPRESA CIUDAD DE SAN FERNANDO SA,30638982338,TRUE,PROV,U.P.A.,San Fernando,,06010002640,L264
L371,371,182,LINEA 371,EMPRESA CIUDAD DE SAN FERNANDO SA,30638982338,TRUE,PROV,U.P.A.,San Fernando,,06010003710,L371
L445,445,183,LINEA 445,EMPRESA CIUDAD DE SAN FERNANDO SA,30638982338,TRUE,PROV,U.P.A.,San Fernando,,06010004450,L445
L710SFE,SF710,180,LINEA 710,EMPRESA CIUDAD DE SAN FERNANDO SA,30638982338,FALSE,SAN FERNANDO,U.M.A.1.,San Fernando,,06017497100,L710SFE
L515ABR,AB515,310,LINEA 515,TRANSPORTE DEL SUR S.R.L.,30647019834,FALSE,ALMIRANTE BROWN,U.M.A.1.,,,06010285150,L515ABR
L200,200,213,LINEA 200,EMPRESA DE TRANSPORTE DEL SUR SRL,30650800016,TRUE,PROV,U.P.A.,Del Sur,,06010002000,L200
L404,404,214,LINEA 404,EMPRESA DE TRANSPORTE DEL SUR SRL,30650800016,TRUE,PROV,U.P.A.,Del Sur,,06010004040,L404
L505ABR,AB505,1143,LINEA 505 AMBA ALMIRANTE BROWN,EMPRESA DE TRANSPORTE DEL SUR SRL,30650800016,TRUE,ALMIRANTE BROWN,U.M.A.1.,Del Sur,,06010285050,L505ABR
L506ABR,AB506,1144,LINEA 506 AMBA ALMIRANTE BROWN,EMPRESA DE TRANSPORTE DEL SUR SRL,30650800016,TRUE,ALMIRANTE BROWN,U.M.A.1.,Del Sur,,06010285060,L506ABR
L521ABR,AB521,1145,LINEA 521 AMBA ALMIRANTE BROWN,EMPRESA DE TRANSPORTE DEL SUR SRL,30650800016,FALSE,ALMIRANTE BROWN,U.M.A.1.,Del Sur,,06010285210,L521ABR
L449,449,217,LINEA 449,EMPRESA DE TRANSPORTES EL LITORAL S.A.,30655853533,TRUE,PROV,U.P.A.,El Litoral,,06010004490,L449
L749JCP,JP749,218,LINEA 749,EMPRESA DE TRANSPORTES EL LITORAL S.A.,30655853533,FALSE,JOSE C. PAZ,U.M.A.1.,El Litoral,,06014127490,L749JCP
L500ZAR,Z500-3,638,LINEA_500-503,COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA,30667645359,TRUE,ZARATE,U.M.A.2.,,,06018825000,L500ZAR
L505ZAR,Z505,833,LINEA 505C,COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA,30667645359,FALSE,ZARATE,U.M.A.2.,,Descripción de línea SUBE repetida. NO existe en SISTAU,06018825050,L505ZAR
L382,382,298,LINEA 382,NUEVO IDEAL S.A.,30680138717,TRUE,PROV,U.P.A.,Nuevo Ideal,,06010003820,L382
L620LMZ,LM620,296,LINEA 620,NUEVO IDEAL S.A.,30680138717,FALSE,LA MATANZA,U.M.A.1.,Nuevo Ideal,,06014276200,L620LMZ
L501ABR,AB501,211,LINEA 501 A,EMPRESA 501 SA,30685861794,FALSE,ALMIRANTE BROWN,U.M.A.1.,,,06010285010,L501ABR
L204A,204A,231,LINEA 204B,LINEA SESENTA SA,30686794713,TRUE,PROV,U.P.A.M,Línea Sesenta,Letra de línea invertida en SUBE,06010002041,L204A
L228B,228B,378,LINEA 228 B,LINEA SESENTA SA,30686794713,TRUE,PROV,U.P.A.M,Línea Sesenta,,06010002282,L228B
L430,430,272,LINEA 430,LINEA SESENTA SA,30686794713,TRUE,PROV,U.P.A.,Línea Sesenta,,06010004300,L430
L503ESC,ES503,362,LINEA 503 B,LINEA SESENTA SA,30686794713,TRUE,ESCOBAR,U.M.A.1.,Línea Sesenta,,06012525030,L503ESC
L509ESC,ES509,626,LINEA 509,LINEA SESENTA SA,30686794713,TRUE,ESCOBAR,U.M.A.1.,Línea Sesenta,Descripción de línea SUBE repetida,06012525090,L509ESC
L514ESC,ES514,627,LINEA 514,LINEA SESENTA SA,30686794713,FALSE,ESCOBAR,U.M.A.1.,Línea Sesenta,Descripción de línea SUBE repetida. NO existe en SISTAU,06012525140,L514ESC
L204B,204B,342,LINEA 204,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,PROV,U.P.A.M,MOTSA,Letra de línea invertida en SUBE,06010002042,L204B
L228C,228C,379,LINEA 228C,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,PROV,U.P.A.M,MOTSA,,06010002283,L228C
L228E,228E,629,LINEA 228E,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,PROV,U.P.A.M,MOTSA,,06010002285,L228E
L505CAM,CA505,368,LINEA 505C,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,CAMPANA,U.M.A.2.,MOTSA,Descripción de línea SUBE repetida,06011265050,L505CAM
L505ESC,ES505,206,LINEA 505E,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,ESCOBAR,U.M.A.1.,MOTSA,,06012525050,L505ESC
L506ESC,ES506,369,LINEA 506B,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,ESCOBAR,U.M.A.1.,MOTSA,,06012525060,L506ESC
L508ESC,ES508,345,LINEA 508A,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,ESCOBAR,U.M.A.1.,MOTSA,,06012525080,L508ESC
L511ESC,ES511,343,LINEA 511A,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,ESCOBAR,U.M.A.1.,MOTSA,,06012525110,L511ESC
L513ESC,ES513,344,LINEA 513A,MICRO OMNIBUS TIGRE S.A.,30692258335,TRUE,ESCOBAR,U.M.A.1.,MOTSA,,06012525130,L513ESC
L720TIG,TI720,294,LINEA 720,MICRO OMNIBUS TIGRE S.A.,30692258335,FALSE,TIGRE,U.M.A.2.,MOTSA,,06018057200,L720TIG
L518EZE,EZ518,230,LINEA 518,EMPRESA J.M. EZEIZA S.R.L.,30693059824,TRUE,EZEIZA,U.M.A.2.,Ezeiza,,06012705180,L518EZE
L532LZA,LZ532,229,LINEA 532,EMPRESA J.M. EZEIZA S.R.L.,30693059824,FALSE,LOMAS DE ZAMORA,U.M.A.1.,Ezeiza,,06014905320,L532LZA
L148,148,124,LINEA 148,EL NUEVO HALCON S.A.,30696385897,FALSE,JN,S.G.I.,MOQSA,,01010001480,L148
L046,46,102,LINEA 46,UNION TRANSPORTISTAS DE EMPRESAS SA,30699672838,FALSE,JN,S.G.I.,Controlada 1,,01010000460,L046
L031,31,489,LINEA 031,ROCARAZA S.A.,30700876426,TRUE,JN,S.G.I.,DOTA,,01010000310,L031
L146,146,69,LINEA 146,ROCARAZA S.A.,30700876426,FALSE,JN,S.G.I.,DOTA,,01010001460,L146
L179,179,136,LINEA 179,GRUPO LINEA 179 S.A.,30702285131,FALSE,JN,S.G.I.,MO 45,,01010001790,L179
L086,86,111,LINEA 86,D.U.V.I. SOCIEDAD ANONIMA,30703953960,TRUE,JN,S.G.I.,Ideal,,01010000860,L086
L193,193,140,LINEA 193,D.U.V.I. SOCIEDAD ANONIMA,30703953960,FALSE,JN,S.G.I.,Ideal,,01010001930,L193
L097,97,118,LINEA 97,BUS DEL OESTE S.A.,30705549113,FALSE,JN,S.G.I.,Ideal,,01010000970,L097
L503ALPL,LP503A,865,LINEA 503 ESTE,EXPRESO LA PLATA BUENOS AIRES S.A.,30707299041,TRUE,LA PLATA,U.M.A.2.,Unión Platense,,06014415031,L503ALPL
L518LPL,LP518,864,LINEA 518 LA PLATA,EXPRESO LA PLATA BUENOS AIRES S.A.,30707299041,FALSE,LA PLATA,U.M.A.2.,Unión Platense,,06014415180,L518LPL
L510PIL,PL510,255,LINEA 510B,PILAR BUS S.A,30707437789,FALSE,PILAR,U.M.A.2.,Nueva Metropol,,06016385100,L510PIL
L313,313,300,LINEA 313,RUTA BUS S.A.,30707902899,TRUE,PROV,U.P.A.M,Noroeste,,06010003130,L313
L350,350,301,LINEA 350,RUTA BUS S.A.,30707902899,TRUE,PROV,U.P.A.M,Noroeste,,06010003500,L350
L355,355,303,LINEA 355,RUTA BUS S.A.,30707902899,TRUE,PROV,U.P.A.M,Noroeste,,06010003550,L355
L501ECC,EC501,360,LINEA 501H,RUTA BUS S.A.,30707902899,TRUE,EXALTACION DE LA CRUZ,U.M.A.2.,Noroeste,,06012665010,L501ECC
L511PIL,PL511,321,LINEA 511B,RUTA BUS S.A.,30707902899,FALSE,PILAR,U.M.A.2.,Noroeste,,06016385110,L511PIL
L522LAN,LA522,387,LINEA 522,EL URBANO SRL,30708058986,TRUE,LANUS,U.M.A.1.,MO 45,,06014345220,L522LAN
L527LAN,LA527,388,LINEA 527,EL URBANO SRL,30708058986,FALSE,LANUS,U.M.A.1.,MO 45,,06014345270,L527LAN
L049,49,104,LINEA 49,BUENOS AIRES BUS SOCIEDAD ANONIMA,30708188197,FALSE,JN,S.G.I.,Ideal,,01010000490,L049
L500LUJ,LU500,352,LINEA 500C,TRANSPORTE 11 DE JUNIO S.R.L.,30708548932,TRUE,LUJAN,U.M.A.2.,11 de Junio,,06014975000,L500LUJ
L501LUJ,LU501,358,LINEA 501F,TRANSPORTE 11 DE JUNIO S.R.L.,30708548932,TRUE,LUJAN,U.M.A.2.,11 de Junio,,06014975010,L501LUJ
L502LUJ,LU502,340,LINEA 502B,TRANSPORTE 11 DE JUNIO S.R.L.,30708548932,TRUE,LUJAN,U.M.A.2.,11 de Junio,,06014975020,L502LUJ
L503LUJ,LU503,524,LINEA 503,TRANSPORTE 11 DE JUNIO S.R.L.,30708548932,FALSE,LUJAN,U.M.A.2.,11 de Junio,Descripción de línea SUBE repetida,06014975030,L503LUJ
L541LZA,LZ541,251,LINEA 541,YITOS S.A.,30709494542,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Yitos,,06014905410,L541LZA
L543LZA,LZ543,270,LINEA 543,YITOS S.A.,30709494542,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Yitos,,06014905430,L543LZA
L544LZA,LZ544,271,LINEA 544,YITOS S.A.,30709494542,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Yitos,,06014905440,L544LZA
L549LZA,LZ549,1135,LINEA 549,YITOS S.A.,30709494542,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Yitos,,06014905490,L549LZA
L561LZA,LZ561,522,LINEA 561,YITOS S.A.,30709494542,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Yitos,,06014905610,L561LZA
L562LZA,LZ562,523,LINEA 562,YITOS S.A.,30709494542,FALSE,LOMAS DE ZAMORA,U.M.A.1.,Yitos,,06014905620,L562LZA
L093,93,116,LINEA 93,TRANSPORTES 1º SEPTIEMBRE S.A.,30709868299,FALSE,JN,S.G.I.,Controlada 4,,01010000930,L093
L500BRA,BR500,351,LINEA 500B,EMPRESA DE TRANSPORTES SANTA RITA SRL,30709869511,FALSE,BRANDSEN,U.M.A.2.,,,06011195000,L500BRA
L506PIL,PL506,334,LINEA 506A,EMRESA MONTERREY S.R.L.,30710092652,FALSE,PILAR,U.M.A.2.,,,06016385060,L506PIL
L723TIG,TI723,346,LINEA 723,UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS,30710988915,FALSE,TIGRE,U.M.A.2.,UTENOR,,06018057230,L723TIG
L501MAR,MA501,432,LINEA 501I,LA PRIMERA DE MALVINAS ARGENTINAS UTE,30711361584,FALSE,MALVINAS ARGENTINAS,U.M.A.1.,Lucero,,06015155010,L501MAR
L503PIL,PL503,462,LINEA 503H (RIVAS),SERGIO A. RIVAS S.R.L,30711403422,FALSE,PILAR,U.M.A.2.,Central Escobar,,06016385030,L503PIL
L509PIL,PL509,461,LINEA 509,LA PRIMERA DE LA ESCONDIDA SRL,30711422613,FALSE,PILAR,U.M.A.2.,Central Escobar,Descripción de línea SUBE repetida,06016385090,L509PIL
L501CAM,CAZ1,463,LINEA SIN NUMERO (COOP 6 DE JULIO),COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA,30711583285,FALSE,CAMPANA,U.M.A.2.,,,06011265010,L501CAM
L722TIG,TI722,517,LINEA 722,UTENOR SA L 722,30712542159,FALSE,TIGRE,U.M.A.2.,UTENOR,,06018057220,L722TIG
L503BLPL,LP503B,863,LINEA 503 ESTE LA PLATA,MICROEXPRES S.A.,30715011820,FALSE,LA PLATA,U.M.A.2.,Nueve de Julio,,06014415032,L503BLPL
L540LZA,LZ540,928,LINEA 540 BSAS,AUTOBUSES BUENOS AIRES SRL,30715215809,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Autobuses,,06014905400,L540LZA
L550LZA,LZ550,929,LINEA 550 BSAS,AUTOBUSES BUENOS AIRES SRL,30715215809,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Autobuses,,06014905500,L550LZA
L552LZA,LZ552,930,LINEA 552 BSAS,AUTOBUSES BUENOS AIRES SRL,30715215809,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Autobuses,,06014905520,L552LZA
L553LZA,LZ553,931,LINEA 553 BSAS,AUTOBUSES BUENOS AIRES SRL,30715215809,FALSE,LOMAS DE ZAMORA,U.M.A.1.,Autobuses,,06014905530,L553LZA
L055,55,106,LINEA 55,ALMAFUERTE S.A.T.A.C.I.,33545684409,FALSE,JN,S.G.I.,La Cabaña,,01010000550,L055
L252,252,311,LINEA 252,TRANSPORTE JOSE HERNANDEZ S.A.C.I.,33546255439,FALSE,PROV,U.P.A.,,,06010002520,L252
L041,41,147,LINEA 41,AZUL S.A. DE TRANSPORTE AUTOMOTOR,33546259639,TRUE,JN,S.G.I.,Rosario BUS,,01010000410,L041
L203,203,179,LINEA 203,AZUL S.A. DE TRANSPORTE AUTOMOTOR,33546259639,FALSE,PROV,U.P.A.M,Rosario BUS,,06010002030,L203
L033,33,130,LINEA 33,TRANSPORTES ALMIRANTE BROWN S.A.,33546261889,FALSE,JN,S.G.I.,MO 45,,01010000330,L033
L028,28,50,LINEA 28,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,33546339829,TRUE,JN,S.G.I.,DOTA,,01010000280,L028
L044,44,42,LINEA 44,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,33546339829,TRUE,JN,D.F.,DOTA,,01010000440,L044
L101,101,34,LINEA 101,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,33546339829,FALSE,JN,S.G.I.,DOTA,,01010001010,L101
L239B,239B,380,LINEA 239B,EXPRESO VILLA GALICIA  SAN JOSE S.A.,33546345659,TRUE,PROV,U.P.A.,Galicia San José,,06010002392,L239B
L263B,263B,338,LINEA 263A,EXPRESO VILLA GALICIA  SAN JOSE S.A.,33546345659,TRUE,PROV,U.P.A.,Galicia San José,Letra de línea invertida en SUBE,06010002632,L263B
L266,266,253,LINEA 266,EXPRESO VILLA GALICIA  SAN JOSE S.A.,33546345659,TRUE,PROV,U.P.A.,Galicia San José,,06010002660,L266
L293B,293B,381,LINEA 293A,EXPRESO VILLA GALICIA  SAN JOSE S.A.,33546345659,TRUE,PROV,U.P.A.,Galicia San José,Letra de línea invertida en SUBE,06010002932,L293B
L436,436,252,LINEA 436,EXPRESO VILLA GALICIA  SAN JOSE S.A.,33546345659,TRUE,PROV,U.P.A.,Galicia San José,,06010004360,L436
L510ABR,AB510,337,LINEA 510A,EXPRESO VILLA GALICIA  SAN JOSE S.A.,33546345659,TRUE,ALMIRANTE BROWN,U.M.A.1.,Galicia San José,,06010285100,L510ABR
L564LZA,LZ564,275,LINEA 564,EXPRESO VILLA GALICIA  SAN JOSE S.A.,33546345659,FALSE,LOMAS DE ZAMORA,U.M.A.1.,Galicia San José,,06014905640,L564LZA
