;PROVINCIA;MUNICIPIO;CUIT;RazonSocial;Linea;AMBA;REC. URB;KM. URB;PAX. URB;Facto rCorr ecKM;Facto r Corre c Rec;Facto r Corre c Pax;Cert Cont;Libro IVA;DDJJ IVA;"Art. 6º Res.
337/
04";"Art. 6º Res.
680/
05";"Art. 7º Res.
680/
05";Cum ple Per miso;Anex o V;Regi men Tarif ario;Cum ple Inc. a;Cum ple Inc. b;Está en Gas oil;"UTA
Cum ple";"CUIT
Valid a";"Res 1 /
12";"Res 422
(Estr uctur a de Cost os)";Habilita do a cobrar;Unid. Habilit en Gasoil;"Unid. NO
Habilit en Gasoil";Litros Go CNRT;Unidad es Compu tables CCP;Agentes computa bles;FC Final
Diciembre (2013);CORDOBA;PROV;30-54635841-7;TRANSPORTES UNIDOS DEL SUD S.R.L.;7311;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;NO;SI;SI;0,00;0,00;0,00;0,00;0,00;0,64286
Diciembre (2013);CORDOBA;PROV;30-54635841-7;TRANSPORTES UNIDOS DEL SUD S.R.L.;7312;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;NO;SI;SI;0,00;0,00;0,00;0,00;0,00;0,64286
Diciembre (2013);CORDOBA;PROV;30-54635841-7;TRANSPORTES UNIDOS DEL SUD S.R.L.;7313;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;NO;SI;SI;0,00;0,00;0,00;0,00;0,00;0,64286
Diciembre (2013);CORDOBA;PROV;30-54635841-7;TRANSPORTES UNIDOS DEL SUD S.R.L.;7314;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;NO;SI;SI;0,00;0,00;0,00;0,00;0,00;0,64286
Diciembre (2013);CORDOBA;PROV;30-54635841-7;TRANSPORTES UNIDOS DEL SUD S.R.L.;7315;NO;3.765.720,00;1.357.368;208.004;1,000;1,000;0,422;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;NO;SI;SI;9,00;5,00;96.708,00;9,00;27,00;0,64286
Diciembre (2013);CORDOBA;PROV;30-54635858-1;MALVINAS ARGENTINAS S.R.L.;4001;NO;1.803.158,25;874.043;488.264;0,878;1,000;0,625;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,48;0,00;28.558,16;6,48;16,59;1,00000
Diciembre (2013);CORDOBA;PROV;30-54635858-1;MALVINAS ARGENTINAS S.R.L.;4002;NO;8.199.957,50;2.433.487;2.366.938;0,878;1,000;0,720;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;18,52;0,00;79.510,84;18,52;47,41;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2001;NO;0,00;0;0;0,878;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2002;NO;0,00;0;0;0,878;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2003;NO;0,00;0;0;0,878;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2004;NO;378.679,66;315.886;51.108;0,878;0,878;0,257;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,00;0,00;15.961,29;3,00;2,57;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2005;NO;0,00;0;0;0,878;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2006;NO;0,00;0;0;0,878;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2007;NO;0,00;0;0;0,878;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2008;NO;1.014.395,00;399.433;75.957;0,878;0,878;0,555;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;0,00;20.182,79;2,00;1,71;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2009;NO;876.909,38;253.263;65.670;0,878;0,878;0,848;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,00;0,00;12.797,03;1,00;0,86;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2010;NO;208.930,31;72.361;15.647;0,878;0,878;0,492;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,50;0,00;3.656,30;0,50;0,43;1,00000
Diciembre (2013);CORDOBA;PROV;30-54643075-4;EL PORVENIR S.R.L.;2011;NO;125.690,76;42.760;9.413;0,878;0,878;0,878;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,50;0,00;2.160,59;0,50;0,43;1,00000
Diciembre (2013);CORDOBA;PROV;30-54644726-6;EMPRESA TRANSPORTE MORTEROS S.R.L.;6101;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54644726-6;EMPRESA TRANSPORTE MORTEROS S.R.L.;6102;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54644726-6;EMPRESA TRANSPORTE MORTEROS S.R.L.;6103;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54644726-6;EMPRESA TRANSPORTE MORTEROS S.R.L.;6104;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54644726-6;EMPRESA TRANSPORTE MORTEROS S.R.L.;6105;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54644726-6;EMPRESA TRANSPORTE MORTEROS S.R.L.;6107;NO;2.756.102,00;587.560;402.301;1,000;0,997;0,476;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,00;0,00;46.991,00;4,00;12,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;3605;NO;0,00;0;0;1,000;0,000;0,000;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;3612;NO;0,00;0;0;1,000;0,000;0,000;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5501;NO;10.132.867,00;2.627.736;3.497.106;1,000;1,000;0,697;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;27,25;0,00;121.320,53;27,25;81,74;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5502;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5507;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5508;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5510;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5513;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5514;NO;346.238,25;108.536;35.981;1,000;1,000;0,419;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,01;0,00;5.011,05;1,01;3,03;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5515;NO;377.198,66;107.493;39.621;1,000;1,000;0,389;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,01;0,00;4.962,85;1,01;3,03;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5516;NO;1.878.160,88;588.753;267.544;1,000;1,000;0,411;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;5,05;0,00;27.182,29;5,05;15,14;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661187-2;SIERRAS DE CALAMUCHITA S.R.L.;5518;NO;1.268.917,13;361.611;145.852;1,000;1,000;0,331;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,03;0,00;16.695,29;3,03;9,08;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;901;NO;3.480.861,75;1.033.488;478.685;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,46;0,00;40.574,29;6,46;19,38;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;902;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;903;NO;1.395.354,75;578.664;386.588;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,23;0,00;22.718,10;3,23;9,69;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;904;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;905;NO;883.110,44;263.800;179.366;1,000;1,000;0,639;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,15;0,00;10.356,67;2,15;6,46;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;906;NO;3.180.112,50;910.296;404.612;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,31;0,00;35.737,82;4,31;12,92;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;907;NO;2.398.423,75;1.022.028;695.095;1,000;1,000;0,415;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,61;0,00;40.124,37;8,61;25,84;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;908;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;909;NO;621.781,94;224.304;108.621;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;8.806,08;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;910;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;911;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;912;NO;3.180.394,25;765.435;405.164;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,23;0,00;30.050,64;3,23;9,69;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;913;NO;139.819,20;52.580;39.223;1,000;1,000;0,463;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;2.064,27;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;914;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;915;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;916;NO;3.616.175,75;996.076;1.328.214;1,000;1,000;0,556;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,46;0,00;39.105,51;6,46;19,38;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;917;NO;553.751,38;241.032;104.692;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,15;0,00;9.462,81;2,15;6,46;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;918;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;919;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;920;NO;978.107,56;294.205;285.736;1,000;1,000;0,376;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,23;0,00;11.550,36;3,23;9,69;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;921;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;922;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;923;NO;534.830,44;208.776;84.401;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;8.196,45;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;924;NO;689.721,25;367.940;193.531;1,000;1,000;0,690;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,23;0,00;14.445,16;3,23;9,69;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;925;NO;196.257,48;77.170;59.940;1,000;1,000;0,378;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,15;0,00;3.029,66;2,15;6,46;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;926;NO;660.166,00;259.812;80.726;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;10.200,11;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;927;NO;490.414,03;243.130;91.766;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;9.545,18;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;928;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;929;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;930;NO;324.635,91;122.160;35.710;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;4.795,95;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;931;NO;846.478,44;214.908;95.709;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,15;0,00;8.437,19;2,15;6,46;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;932;NO;522.335,81;176.862;171.267;1,000;1,000;0,996;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;6.943,52;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;933;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;934;NO;3.246.716,50;1.121.220;477.948;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;5,38;0,00;44.018,61;5,38;16,15;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;935;NO;1.131.266,25;479.436;243.555;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,23;0,00;18.822,45;3,23;9,69;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;936;NO;1.853.261,38;512.544;214.364;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,15;0,00;20.122,25;2,15;6,46;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;937;NO;1.313.201,00;671.076;99.857;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,23;0,00;26.346,15;3,23;9,69;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;938;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;939;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;940;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;941;NO;1.063.389,13;444.192;226.449;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,15;0,00;17.438,78;2,15;6,46;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;942;NO;405.138,00;110.124;74.380;1,000;1,000;0,655;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;4.323,42;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;943;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;944;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;945;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;946;NO;804.638,50;260.202;161.168;1,000;1,000;0,380;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,15;0,00;10.215,42;2,15;6,46;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;947;NO;77.765,84;21.252;16.074;1,000;1,000;0,558;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,08;0,00;834,34;1,08;3,23;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;948;NO;896.650,44;281.237;402.017;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,15;0,00;11.041,24;2,15;6,46;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;949;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);CORDOBA;PROV;30-54661712-9;CIUDAD DE CORDOBA S.A.C.I.F.;950;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
